InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Year,Month,Day
543359,22794,SWEETHEART WIRE MAGAZINE RACK,1,2011-02-07 14:16:00,7.95,16332,United Kingdom,7.95,2011,2,7
564336,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2011-08-24 14:28:00,1.65,12748,United Kingdom,4.949999999999999,2011,8,24
568589,22357,KINGS CHOICE BISCUIT TIN,4,2011-09-28 10:27:00,4.25,17405,United Kingdom,17.0,2011,9,28
551014,22992,REVOLVER WOODEN RULER ,12,2011-04-26 11:04:00,1.95,13209,United Kingdom,23.4,2011,4,26
555858,C2,CARRIAGE,1,2011-06-07 14:12:00,50.0,14911,EIRE,50.0,2011,6,7
548551,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-04-01 08:56:00,3.95,14886,United Kingdom,15.8,2011,4,1
573666,21807,WHITE CHRISTMAS STAR DECORATION,25,2011-10-31 16:24:00,0.42,15977,United Kingdom,10.5,2011,10,31
577303,22556,PLASTERS IN TIN CIRCUS PARADE ,6,2011-11-18 13:02:00,1.65,14390,United Kingdom,9.899999999999999,2011,11,18
566518,22667,RECIPE BOX RETROSPOT ,1,2011-09-13 11:24:00,2.95,17779,United Kingdom,2.95,2011,9,13
538015,21745,GAOLERS KEYS DECORATIVE GARDEN ,3,2010-12-09 12:49:00,3.75,13240,United Kingdom,11.25,2010,12,9
569037,21014,SWISS CHALET TREE DECORATION ,5,2011-09-30 10:45:00,0.29,13263,United Kingdom,1.45,2011,9,30
575655,23553,LANDMARK FRAME CAMDEN TOWN ,1,2011-11-10 14:28:00,12.5,16434,United Kingdom,12.5,2011,11,10
555524,23169,CLASSIC GLASS COOKIE JAR,1,2011-06-05 11:37:00,4.15,16923,United Kingdom,4.15,2011,6,5
550630,84576,BLUE CAT BISCUIT BARREL PINK HEART,12,2011-04-19 14:49:00,1.95,14298,United Kingdom,23.4,2011,4,19
558199,22501,PICNIC BASKET WICKER LARGE,2,2011-06-27 12:58:00,9.95,17110,United Kingdom,19.9,2011,6,27
543463,22364,GLASS JAR DIGESTIVE BISCUITS,1,2011-02-08 14:06:00,2.95,15311,United Kingdom,2.95,2011,2,8
559125,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-07-06 12:32:00,4.15,13985,United Kingdom,16.6,2011,7,6
573164,21754,HOME BUILDING BLOCK WORD,3,2011-10-28 09:06:00,6.25,13993,United Kingdom,18.75,2011,10,28
550008,22456,NATURAL SLATE CHALKBOARD LARGE ,3,2011-04-14 10:17:00,4.95,15570,United Kingdom,14.850000000000001,2011,4,14
564170,22099,CARAVAN SQUARE TISSUE BOX,36,2011-08-23 13:59:00,0.39,17696,United Kingdom,14.040000000000001,2011,8,23
578233,23402,HOME SWEET HOME 3 PEG HANGER ,1,2011-11-23 12:20:00,3.75,14049,United Kingdom,3.75,2011,11,23
573153,22417,PACK OF 60 SPACEBOY CAKE CASES,72,2011-10-28 07:39:00,0.55,12678,France,39.6,2011,10,28
559691,23209,LUNCH BAG DOILEY PATTERN ,10,2011-07-11 15:52:00,1.65,13089,United Kingdom,16.5,2011,7,11
540954,20752,BLUE POLKADOT WASHING UP GLOVES,1,2011-01-12 13:19:00,2.1,14606,United Kingdom,2.1,2011,1,12
551471,22487,WHITE WOOD GARDEN PLANT LADDER,2,2011-04-28 16:40:00,9.95,16370,United Kingdom,19.9,2011,4,28
546520,22260,FELT EGG COSY BLUE RABBIT ,12,2011-03-14 12:28:00,0.85,14911,EIRE,10.2,2011,3,14
536856,22865,HAND WARMER OWL DESIGN,12,2010-12-03 10:26:00,2.1,13370,United Kingdom,25.200000000000003,2010,12,3
559133,23242,TREASURE TIN BUFFALO BILL ,22,2011-07-06 13:13:00,2.08,17861,United Kingdom,45.760000000000005,2011,7,6
547577,21166,COOK WITH WINE METAL SIGN ,48,2011-03-24 10:37:00,1.85,13183,United Kingdom,88.80000000000001,2011,3,24
555551,79030D,TUMBLER BAROQUE,24,2011-06-05 13:32:00,0.39,14696,United Kingdom,9.36,2011,6,5
570118,23046,PAPER LANTERN 9 POINT DELUXE STAR,6,2011-10-07 12:44:00,6.65,13276,United Kingdom,39.900000000000006,2011,10,7
571410,23112,PARISIENNE CURIO CABINET,4,2011-10-17 12:32:00,7.5,17527,United Kingdom,30.0,2011,10,17
547647,21086,SET/6 RED SPOTTY PAPER CUPS,12,2011-03-24 11:43:00,0.65,15144,United Kingdom,7.800000000000001,2011,3,24
569228,85032C,CURIOUS IMAGES GIFT WRAP SET,12,2011-10-02 14:47:00,0.65,15547,United Kingdom,7.800000000000001,2011,10,2
549251,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2,2011-04-07 12:16:00,0.85,14449,United Kingdom,1.7,2011,4,7
559121,85015,SET OF 12  VINTAGE POSTCARD SET,24,2011-07-06 12:18:00,0.65,13599,United Kingdom,15.600000000000001,2011,7,6
540188,21518,BANK ACCOUNT  GREETING  CARD ,12,2011-01-05 13:57:00,0.42,16771,United Kingdom,5.04,2011,1,5
554040,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,2011-05-20 14:35:00,0.85,15290,United Kingdom,20.4,2011,5,20
556960,22423,REGENCY CAKESTAND 3 TIER,4,2011-06-16 09:28:00,12.75,14844,United Kingdom,51.0,2011,6,16
551658,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2011-05-03 12:13:00,0.85,16746,United Kingdom,17.0,2011,5,3
573572,23355,HOT WATER BOTTLE KEEP CALM,2,2011-10-31 14:03:00,4.95,14527,United Kingdom,9.9,2011,10,31
557742,84978,HANGING HEART JAR T-LIGHT HOLDER,36,2011-06-22 11:46:00,1.06,14911,EIRE,38.160000000000004,2011,6,22
575390,23220,REINDEER HEART DECORATION GOLD,12,2011-11-09 15:31:00,0.83,12971,United Kingdom,9.959999999999999,2011,11,9
577545,20754,RETROSPOT RED WASHING UP GLOVES,3,2011-11-20 14:43:00,2.1,16931,United Kingdom,6.300000000000001,2011,11,20
569493,48187,DOORMAT NEW ENGLAND,2,2011-10-04 13:35:00,8.25,13317,United Kingdom,16.5,2011,10,4
554376,20974,12 PENCILS SMALL TUBE SKULL,5,2011-05-24 11:31:00,0.65,15719,United Kingdom,3.25,2011,5,24
573510,22199,FRYING PAN RED RETROSPOT,1,2011-10-31 12:21:00,4.25,14808,United Kingdom,4.25,2011,10,31
569668,22865,HAND WARMER OWL DESIGN,12,2011-10-05 13:47:00,2.1,16040,United Kingdom,25.200000000000003,2011,10,5
571291,23114,VINTAGE LEAF CHOPPING BOARD  ,1,2011-10-16 15:44:00,4.95,13610,United Kingdom,4.95,2011,10,16
548616,22621,TRADITIONAL KNITTING NANCY,24,2011-04-01 11:48:00,1.45,18263,United Kingdom,34.8,2011,4,1
549690,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2011-04-11 13:41:00,2.95,17841,United Kingdom,2.95,2011,4,11
554835,21530,DAIRY MAID TOASTRACK,18,2011-05-26 16:11:00,0.79,15241,United Kingdom,14.22,2011,5,26
557891,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,2011-06-23 14:05:00,1.65,17652,United Kingdom,9.899999999999999,2011,6,23
579194,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-11-28 15:50:00,0.29,15804,United Kingdom,13.919999999999998,2011,11,28
567656,22469,HEART OF WICKER SMALL,2,2011-09-21 14:40:00,1.63,14096,United Kingdom,3.26,2011,9,21
560232,23321,SMALL WHITE HEART OF WICKER,4,2011-07-17 11:08:00,1.65,14810,United Kingdom,6.6,2011,7,17
539353,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2010-12-17 11:30:00,3.75,12782,Portugal,15.0,2010,12,17
547037,22659,LUNCH BOX I LOVE LONDON,64,2011-03-20 10:37:00,1.65,14101,United Kingdom,105.6,2011,3,20
573142,23196,VINTAGE LEAF MAGNETIC NOTEPAD,36,2011-10-27 17:48:00,1.45,18035,United Kingdom,52.199999999999996,2011,10,27
578293,23245,SET OF 3 REGENCY CAKE TINS,4,2011-11-23 14:36:00,4.95,15640,United Kingdom,19.8,2011,11,23
559011,23173,REGENCY TEAPOT ROSES ,2,2011-07-05 12:50:00,9.95,17049,United Kingdom,19.9,2011,7,5
558761,22469,HEART OF WICKER SMALL,2,2011-07-03 12:52:00,1.65,15033,United Kingdom,3.3,2011,7,3
567183,22400,MAGNETS PACK OF 4 HOME SWEET HOME,12,2011-09-18 15:32:00,0.39,14769,United Kingdom,4.68,2011,9,18
544460,22147,FELTCRAFT BUTTERFLY HEARTS,3,2011-02-20 14:01:00,1.45,16931,United Kingdom,4.35,2011,2,20
538905,22834,HAND WARMER BABUSHKA DESIGN,24,2010-12-15 10:31:00,0.85,13611,United Kingdom,20.4,2010,12,15
548404,21877,HOME SWEET HOME MUG,12,2011-03-31 09:38:00,1.25,16398,United Kingdom,15.0,2011,3,31
564056,23231,WRAP  VINTAGE DOILY ,25,2011-08-22 14:13:00,0.42,14387,United Kingdom,10.5,2011,8,22
550408,20723,STRAWBERRY CHARLOTTE BAG,10,2011-04-18 11:59:00,0.85,16746,United Kingdom,8.5,2011,4,18
578506,23469,CARD HOLDER LOVE BIRD SMALL,3,2011-11-24 13:01:00,4.15,17458,United Kingdom,12.450000000000001,2011,11,24
540992,21063,PARTY INVITES JAZZ HEARTS,3,2011-01-12 16:57:00,0.85,17364,United Kingdom,2.55,2011,1,12
553067,21868,POTTING SHED TEA MUG,6,2011-05-13 11:44:00,1.25,16871,United Kingdom,7.5,2011,5,13
552835,21213,PACK OF 72 SKULL CAKE CASES,24,2011-05-11 14:17:00,0.55,17664,United Kingdom,13.200000000000001,2011,5,11
538799,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2010-12-14 11:48:00,4.95,15039,United Kingdom,4.95,2010,12,14
555630,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,16,2011-06-06 12:04:00,0.42,14732,United Kingdom,6.72,2011,6,6
578522,22972,CHILDREN'S SPACEBOY MUG,2,2011-11-24 14:09:00,1.65,17254,United Kingdom,3.3,2011,11,24
563935,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-08-21 16:24:00,0.85,15547,United Kingdom,10.2,2011,8,21
570418,23099,FRENCH CARRIAGE LANTERN,2,2011-10-10 13:31:00,6.65,15211,United Kingdom,13.3,2011,10,10
561774,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-07-29 12:41:00,1.69,16729,United Kingdom,13.52,2011,7,29
560711,20702,PINK PADDED MOBILE,1,2011-07-20 12:58:00,4.25,17841,United Kingdom,4.25,2011,7,20
540511,22269,EGG CUP NATURAL CHICKEN,3,2011-01-09 11:34:00,1.25,14472,United Kingdom,3.75,2011,1,9
551283,21564,PINK  HEART SHAPE LOVE BUCKET ,4,2011-04-27 14:01:00,2.95,16755,United Kingdom,11.8,2011,4,27
580133,23569,TRADTIONAL ALPHABET STAMP SET,3,2011-12-01 18:43:00,4.95,15531,United Kingdom,14.850000000000001,2011,12,1
564335,22918,HERB MARKER PARSLEY,2,2011-08-24 14:23:00,0.65,15800,United Kingdom,1.3,2011,8,24
562276,21930,JUMBO STORAGE BAG SKULLS,10,2011-08-04 10:23:00,2.08,17735,United Kingdom,20.8,2011,8,4
537852,22925,BLUE GIANT GARDEN THERMOMETER,5,2010-12-08 15:56:00,5.95,17340,United Kingdom,29.75,2010,12,8
550633,21136,PAINTED METAL PEARS ASSORTED,4,2011-04-19 14:57:00,1.69,17449,United Kingdom,6.76,2011,4,19
567878,22091,EMPIRE TISSUE BOX,3,2011-09-22 14:42:00,0.39,16910,United Kingdom,1.17,2011,9,22
562688,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,2011-08-08 13:53:00,1.25,13869,United Kingdom,7.5,2011,8,8
575089,23103,JINGLE BELL HEART DECORATION,24,2011-11-08 14:02:00,1.65,13437,United Kingdom,39.599999999999994,2011,11,8
568696,23405,HOME SWEET HOME 2 DRAWER CABINET,4,2011-09-28 14:56:00,4.95,13842,United Kingdom,19.8,2011,9,28
571629,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-10-18 11:18:00,1.25,13362,United Kingdom,15.0,2011,10,18
566816,20685,DOORMAT RED RETROSPOT,10,2011-09-15 10:53:00,7.08,12731,France,70.8,2011,9,15
569224,23321,SMALL WHITE HEART OF WICKER,3,2011-10-02 14:00:00,1.65,15701,United Kingdom,4.949999999999999,2011,10,2
566040,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-09-08 13:38:00,2.95,12540,Spain,17.700000000000003,2011,9,8
576606,23169,CLASSIC GLASS COOKIE JAR,12,2011-11-15 15:33:00,4.15,13410,United Kingdom,49.800000000000004,2011,11,15
537852,21820,GLITTER HEART GARLAND WITH BELLS ,18,2010-12-08 15:56:00,3.75,17340,United Kingdom,67.5,2010,12,8
556495,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2011-06-12 15:14:00,7.95,18069,United Kingdom,7.95,2011,6,12
539477,20992,JAZZ HEARTS PURSE NOTEBOOK,12,2010-12-19 14:58:00,0.85,18245,United Kingdom,10.2,2010,12,19
572721,21484,CHICK GREY HOT WATER BOTTLE,4,2011-10-25 15:07:00,4.25,16201,United Kingdom,17.0,2011,10,25
567099,22681,FRENCH BLUE METAL DOOR SIGN 6,2,2011-09-16 13:31:00,1.25,15311,United Kingdom,2.5,2011,9,16
564544,21098,CHRISTMAS TOILET ROLL,12,2011-08-25 15:50:00,1.25,15663,United Kingdom,15.0,2011,8,25
571681,23543,WALL ART KEEP CALM ,2,2011-10-18 13:44:00,8.25,16734,United Kingdom,16.5,2011,10,18
563328,21581,SKULLS  DESIGN  COTTON TOTE BAG,1,2011-08-15 13:07:00,2.25,14606,United Kingdom,2.25,2011,8,15
555408,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-06-03 08:54:00,8.5,13294,United Kingdom,17.0,2011,6,3
557621,21682,LARGE MEDINA STAMPED METAL BOWL ,4,2011-06-21 14:00:00,4.95,12444,Norway,19.8,2011,6,21
579281,POST,POSTAGE,1,2011-11-29 10:36:00,40.0,12375,Finland,40.0,2011,11,29
538145,84915,HAND TOWEL PINK FLOWER AND DAISY,2,2010-12-09 16:08:00,5.95,15211,United Kingdom,11.9,2010,12,9
549569,20886,BOX OF 9 PEBBLE CANDLES,2,2011-04-10 15:15:00,1.95,15547,United Kingdom,3.9,2011,4,10
557948,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-06-23 16:35:00,1.45,13937,United Kingdom,17.4,2011,6,23
565766,22981,PANTRY APPLE CORER,2,2011-09-06 14:23:00,1.45,17841,United Kingdom,2.9,2011,9,6
549316,23050,RECYCLED ACAPULCO MAT GREEN,6,2011-04-08 09:54:00,8.25,12705,Germany,49.5,2011,4,8
581098,22072,RED RETROSPOT TEA CUP AND SAUCER ,12,2011-12-07 11:42:00,1.25,14911,EIRE,15.0,2011,12,7
574701,23397,FOOT STOOL HOME SWEET HOME ,1,2011-11-06 13:54:00,9.95,15426,United Kingdom,9.95,2011,11,6
562708,22371,AIRLINE BAG VINTAGE TOKYO 78,2,2011-08-08 14:15:00,4.25,17085,United Kingdom,8.5,2011,8,8
538903,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2010-12-15 10:17:00,0.85,13496,United Kingdom,10.2,2010,12,15
548796,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,8,2011-04-04 12:42:00,0.42,15752,United Kingdom,3.36,2011,4,4
569236,85032A,ROMANTIC IMAGES GIFT WRAP SET,2,2011-10-02 15:49:00,0.65,14432,United Kingdom,1.3,2011,10,2
578036,23338,EGG FRYING PAN RED ,1,2011-11-22 14:04:00,2.08,16474,United Kingdom,2.08,2011,11,22
