CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12346,326,2,0.0,1,1,1,At Risk
12347,2,182,4310.0,5,5,5,Champions
12348,75,31,1797.24,2,3,4,At Risk
12349,19,73,1757.55,4,4,4,Champions
12350,310,17,334.4,1,2,2,At Risk
12352,36,95,1545.41,3,4,4,Loyal Customers
12353,204,4,89.0,1,1,1,At Risk
12354,232,58,1079.4,1,3,4,At Risk
12355,214,13,459.4,1,1,2,At Risk
12356,23,59,2811.43,4,4,5,Champions
12357,33,131,6207.67,3,5,5,Loyal Customers
12358,2,19,1168.06,5,2,4,Recent Customers
12359,8,251,6182.9800000000005,5,5,5,Champions
12360,52,129,2662.06,3,5,5,Loyal Customers
12361,287,10,189.9,1,1,1,At Risk
12362,3,274,5154.58,5,5,5,Champions
12363,110,23,552.0,2,2,3,At Risk
12364,8,85,1313.1,5,4,4,Champions
12365,291,23,320.69,1,2,2,At Risk
12367,4,11,168.9,5,1,1,Recent Customers
12370,51,166,3541.94,3,5,5,Loyal Customers
12371,45,63,1887.96,3,4,4,Loyal Customers
12372,72,52,1298.04,2,3,4,At Risk
12373,311,14,364.6,1,1,2,At Risk
12374,25,33,742.9300000000001,4,3,3,Recent Customers
12375,3,18,455.42,5,2,2,Recent Customers
12377,315,77,1628.12,1,4,4,Loyal Customers
12378,130,219,4008.62,2,5,5,Loyal Customers
12379,82,41,850.29,2,3,3,At Risk
12380,22,105,2720.56,4,4,5,Champions
12381,5,91,1803.96,5,4,4,Champions
12383,185,100,1839.31,1,4,4,Loyal Customers
12384,29,30,566.16,4,3,3,Recent Customers
12386,338,10,401.9,1,1,2,At Risk
12388,16,100,2780.66,4,4,5,Champions
12390,80,32,549.84,2,3,3,At Risk
12391,22,93,439.66,4,4,2,Loyal Customers
12393,72,64,1582.6000000000001,2,4,4,Loyal Customers
12394,64,27,1272.48,3,2,4,Regular Customers
12395,16,159,2998.28,4,5,5,Champions
12397,36,126,2409.9,3,5,5,Loyal Customers
